,StationFront,Year,Tmean,Smean,Lmean,Tmin,Smin,Lmin,Tmax,Smax,Lmax,Tsd,Ssd,Lsd,Counts,SpecCode,Cover,Latitude,Longitude
5154,CRMS0260,2012,25.23221612,5.488264652,0.030496795,3.13,0.4,-1.87,34.46,12.83,1.35,5.266715041,2.799555063,0.450681143,4368,Aaustralis,0.022,29.53411,-89.85423
5167,CRMS0260,2013,23.54252532,8.732120166,-0.042196133,6.41,4.17,-1.7,35.01,14.71,1.23,6.195111726,2.161385895,0.472905844,4344,Aaustralis,0.003,29.53411,-89.85423
5169,CRMS0260,2014,23.36907309,4.397751902,-0.297175006,3.71,0.72,-2.014,35.42,12.57,1.266,6.605278285,2.61353826,0.508416383,4337,Aaustralis,0.003,29.53411,-89.85423
5178,CRMS0260,2015,24.86360713,5.950490514,-0.115381536,5.53,1.2,-1.479,36.14,14.44,0.966,6.632274989,3.115872986,0.420936053,4322,Aaustralis,0.05,29.53411,-89.85423
5207,CRMS0261,2007,29.29312434,1.851349628,0.149309245,20.45,0.49,-0.61,36.79,6.88,1.17,2.699928999,1.152061364,0.35173248,1882,Aaustralis,0.008,29.59944,-90.10424
5224,CRMS0261,2009,25.04323489,1.411179049,0.03596216,6.24,0.22,-1.56,36.94,7.55,1.85,6.061027982,1.138867759,0.466835826,4334,Aaustralis,0.055,29.59944,-90.10424
5242,CRMS0261,2010,23.90786372,1.198066298,0.030347606,4.44,0.22,-1.34,37.42,6.68,1.9,7.692415509,1.189099636,0.587492511,4344,Aaustralis,0.018,29.59944,-90.10424
5259,CRMS0261,2011,25.33345627,2.711593598,-0.025286476,2.47,0.46,-1.48,35.4,8.9,1.49,6.155863372,1.62772876,0.44167484,4311,Aaustralis,0.002,29.59944,-90.10424
5284,CRMS0261,2012,25.59071658,1.725098443,0.106602564,2.08,0.25,-1.48,36.11,10.11,1.56,5.197344015,1.864078986,0.424467927,4368,Aaustralis,0.004,29.59944,-90.10424
5298,CRMS0261,2013,23.92212017,1.01661372,0.137564457,8.89,0.2,-1.38,36.67,5.43,1.33,6.25833077,0.923731793,0.471961733,4344,Aaustralis,0.02,29.59944,-90.10424
5367,CRMS0261,2017,25.28653155,1.697602487,0.24326094,13.42,0.19,-1.072,35.35,10.7,2.445,4.65922548,1.55685589,0.528322945,4342,Aaustralis,0.004,29.59944,-90.10424
5406,CRMS0263,2015,24.93054512,5.323203433,-0.138502668,5.75,1.83,-1.721,36.28,13.38,1.052,6.442083979,2.75741763,0.482311043,4311,Aaustralis,0.011,29.55589,-89.88548
5497,CRMS0268,2008,19.02648581,0.189239927,-0.580535714,14.62,0.11,-1.21,23.37,0.26,0.15,2.809367674,0.030882288,0.212045954,4368,Aaustralis,0.002,29.79541,-90.60425
5854,CRMS0273,2010,18.8928384,0.512214549,0.331666667,9.55,0.1,-0.27,25.74,0.73,1.61,4.823612992,0.170392334,0.358576295,4344,Aaustralis,0.002,29.81718,-90.32299
5972,CRMS0276,2008,26.82608643,2.101016407,0.250852341,13.16,0.95,-0.78,35.95,3.86,1.42,4.203399551,0.614383774,0.374954219,2499,Aaustralis,0.045,29.62121,-89.94798
5978,CRMS0276,2009,25.15391422,5.706292074,0.147301846,7.51,1.39,-0.78,37.18,11.96,1.78,5.194641539,2.938544274,0.423039626,3684,Aaustralis,0.01,29.62121,-89.94798
5984,CRMS0276,2010,25.64732888,3.96434492,0.207390374,2.33,0.32,-0.72,37.79,7.75,1.99,6.671026655,1.960472247,0.49146019,3740,Aaustralis,0.012,29.62121,-89.94798
5991,CRMS0276,2011,26.44660411,8.986824753,0.129690591,5.93,5.36,-0.73,36.83,13.05,2.14,4.693235328,1.779472075,0.401990551,3943,Aaustralis,0.026,29.62121,-89.94798
6012,CRMS0276,2014,24.62831597,3.671411765,-0.17572437,6.79,2.04,-0.842,36.14,5.47,1.448,5.089989069,0.79773681,0.449206404,2975,Aaustralis,0.058,29.62121,-89.94798
6013,CRMS0276,2015,26.84767423,4.806072697,-0.162937688,7.6,0.94,-0.841,37.12,8.36,0.872,4.909567169,1.704054091,0.359680121,3659,Aaustralis,0.037,29.62121,-89.94798
6031,CRMS0276,2016,25.69199553,3.156505964,0.124877982,9.14,1.73,-0.798,36.32,5.12,1.579,4.923569072,0.73890603,0.438273321,4024,Aaustralis,0.009,29.62121,-89.94798
6037,CRMS0276,2017,26.0291501,5.724853556,-0.011537918,12.98,2.5,-0.799,37.17,9.29,2.574,4.115290181,1.688026824,0.473360463,3824,Aaustralis,0.003,29.62121,-89.94798
6091,CRMS0278,2009,20.1293186,1.519063076,0.056802486,14.42,0.65,-0.65,25.74,1.97,1.54,3.470946032,0.217582476,0.391823784,4344,Aaustralis,0.013,29.80993,-90.22924
6100,CRMS0278,2010,18.68328575,1.039283905,0.177361271,11.9,0.36,-0.47,25.45,1.26,1.63,4.625731947,0.111911157,0.449596206,4343,Aaustralis,0.002,29.80993,-90.22924
6112,CRMS0278,2011,19.56861354,0.850617227,0.053233533,12.4,0.6,-0.55,24.8,1,1.54,3.935099763,0.063533636,0.316754447,4342,Aaustralis,0.014,29.80993,-90.22924
6250,CRMS0282,2008,25.09128472,5.244499008,0.043335813,8.9,0.92,-1.86,33.68,17.15,1.84,5.363141802,2.847331757,0.547744305,4032,Aaustralis,0.025,29.49783,-89.76048
6279,CRMS0282,2014,23.49659643,9.112780736,-0.299013661,7,1.9,-2.13,34.6,17.9,1.37,6.280463322,4.127642514,0.562387264,4319,Aaustralis,0.018,29.49783,-89.76048
6293,CRMS0282,2016,24.75987626,6.104743355,0.051840055,8.9,2.3,-1.91,34.7,10.6,1.82,5.796536945,1.509890368,0.561360558,4364,Aaustralis,0.013,29.49783,-89.76048
6305,CRMS0282,2017,19.20965842,14.33733804,-0.507491166,14.2,12.9,-1.89,24.2,16.2,0.79,2.182564054,0.756190165,0.521095721,849,Aaustralis,0.003,29.49783,-89.76048
6334,CRMS0287,2009,20.59844153,2.397884438,0.039912523,15.9,1.41,-0.59,25.31,2.65,1.72,3.225812231,0.198389125,0.351325626,4344,Aaustralis,0.003,29.68654,-90.01048
6353,CRMS0287,2010,18.59008612,1.056466535,0.10308563,11.48,0.27,-0.52,26.56,1.52,1.59,4.65454411,0.286811363,0.397404422,4064,Aaustralis,0.001,29.68654,-90.01048
6416,CRMS0287,2013,19.90998849,2.464958564,0.195980663,14.87,1.63,-0.32,25.33,3.17,1.22,3.32213475,0.269278461,0.272426701,4344,Aaustralis,0.005,29.68654,-90.01048
7242,CRMS0301,2010,19.04443692,0.452242991,-0.02928271,12.19,0.28,-0.44,25.5,0.57,0.86,4.238659076,0.05434061,0.265989621,4280,Aaustralis,0.015,29.50508,-91.22927
7270,CRMS0301,2011,20.62408222,0.400077077,0.571119041,12.56,0.3,-0.44,26.96,0.47,2.56,3.568366979,0.027884067,0.691766214,3503,Aaustralis,0.001,29.50508,-91.22927
7352,CRMS0301,2014,19.6877256,0.462435543,0.353552716,11.89,0.31,-0.01,25.63,1.03,1.3,3.976045239,0.110380657,0.218295785,4344,Aaustralis,0.002,29.50508,-91.22927
7598,CRMS0305,2010,23.32512201,0.538786832,-0.357516114,3.92,0.12,-2.39,37.72,9.73,1.65,7.994296262,0.912079288,0.68922447,4344,Aaustralis,0.013,29.38895,-91.19802
7647,CRMS0305,2012,25.09990842,1.64264652,-0.38878663,6.27,0.14,-2.54,35.18,14.71,1.72,5.400914292,2.830822914,0.667983162,4368,Aaustralis,0.002,29.38895,-91.19802
7729,CRMS0305,2015,24.32241308,0.347854018,-0.736959015,5.59,0.11,-3.373,36.59,6.68,1.034,6.967031452,0.358852321,0.647521243,4343,Aaustralis,0.001,29.38895,-91.19802
7762,CRMS0305,2016,24.34508929,0.595483059,-0.423272207,6.16,0.1,-2.629,35.87,10.49,2.046,6.248234527,1.027728033,0.621610205,4368,Aaustralis,0.0025,29.38895,-91.19802
7786,CRMS0305,2017,25.09073895,1.764930939,-0.563694061,13.29,0.11,-2.842,37.02,14.77,2.835,4.871418925,2.746218876,0.668751161,4344,Aaustralis,0.002,29.38895,-91.19802
8083,CRMS0312,2009,19.02020159,5.004137475,0.080677462,16.21,3.93,-0.7,24.7,5.9,1.4,2.398791071,0.548821186,0.398762014,3026,Aaustralis,0.031,29.50508,-90.3855
8102,CRMS0312,2010,19.98453269,4.005326888,-0.126484807,14.23,2.62,-1.35,26.57,4.96,1.71,4.49269374,0.355116653,0.488261193,4344,Aaustralis,0.02,29.50508,-90.3855
8125,CRMS0312,2011,21.2999102,7.906456367,-0.046074142,11.74,3.44,-1.02,30.94,14.88,1.98,5.030400535,2.864523725,0.402354529,4343,Aaustralis,0.002,29.50508,-90.3855
8162,CRMS0312,2013,20.1939756,4.715506446,0.128342541,15.25,2.13,-0.72,26.27,6.2,1.34,3.494819344,0.686513328,0.347550113,4344,Aaustralis,0.002,29.50508,-90.3855
8178,CRMS0312,2014,20.22450827,4.608846336,-0.068045154,13.72,2.52,-0.8,27.44,6.84,1.82,4.146578875,0.977354996,0.382251648,4230,Aaustralis,0.008,29.50508,-90.3855
8188,CRMS0312,2015,20.54101059,4.397030387,-0.067913214,13.89,3.15,-0.892,25.87,5.19,1.091,4.048580682,0.286834652,0.360656064,4344,Aaustralis,0.017,29.50508,-90.3855
8204,CRMS0312,2016,21.35136916,3.493908879,0.243716589,15,2.41,-0.669,26.98,4.14,1.865,3.656696948,0.308300115,0.426514559,4280,Aaustralis,0.005,29.50508,-90.3855
8220,CRMS0312,2017,21.970686,5.171388122,0.021793048,17.14,2.41,-0.847,26.21,8.88,1.994,2.821532186,1.202506356,0.457642315,4344,Aaustralis,0.011,29.50508,-90.3855
8386,CRMS0326,2011,24.60480056,7.424814471,-0.308705009,2.2,0.8,-1.893,34.6,21.2,1.027,6.202408797,4.86058487,0.533659142,4312,Aaustralis,0.00025,29.27282,-91.07301
8404,CRMS0326,2014,23.25879144,6.705465009,-0.456279466,1.99,1.38,-2.022,35.05,16.61,0.918,6.447165478,3.787786858,0.522703731,4344,Aaustralis,0.002,29.27282,-91.07301
8558,CRMS0327,2013,19.2948918,0.463549724,0.082518416,15.51,0.28,-0.31,25.16,0.6,0.67,3.102036155,0.070634543,0.221998671,4344,Aaustralis,0.002,29.44702,-91.07301
9167,CRMS0332,2015,24.71778724,2.459871057,-0.646949344,7.92,0.18,-2.631,34.9,13.25,1.114,6.490396978,1.968982962,0.529789169,4343,Aaustralis,0.002,29.30185,-91.04176
9380,CRMS0354,2012,23.55225575,2.608813863,-0.143069615,3.6,0.2,-1.702,34.7,17.9,1.148,5.07411803,2.542290832,0.457976712,3347,Aaustralis,0.005,29.33088,-91.01051
9389,CRMS0354,2013,23.56935773,1.514426796,-0.054912523,6.05,0.14,-1.75,35.69,13.45,1.28,6.267184977,1.897645582,0.50113474,4344,Aaustralis,0.005,29.33088,-91.01051
9392,CRMS0354,2014,24.74557838,2.093475936,-0.165240642,2.13,0.16,-1.86,35.8,12.83,1.23,6.345487624,2.232066871,0.519902055,3553,Aaustralis,0.005,29.33088,-91.01051
9441,CRMS0354,2017,25.08745396,3.639686924,-0.005181169,11.31,0.14,-1.556,36.67,22.48,2.617,4.643498696,4.193529257,0.550529191,4344,Aaustralis,0.003,29.33088,-91.01051
9445,CRMS0355,2010,23.60955834,14.95351464,-0.235127848,8.55,6.39,-2.32,33.27,21.82,2.17,4.665803248,2.705176969,0.688130511,2151,Aaustralis,0.016,29.29663,-90.54149
9598,CRMS0365,2010,20.61096455,0.21889733,-0.354274862,9.46,0.09,-0.56,30.57,0.43,-0.08,6.725852828,0.067677531,0.076185112,4344,Aaustralis,0.01,29.46879,-91.19802
9609,CRMS0365,2011,21.27852901,0.2628407,0.104714549,10.25,0.14,-0.19,28.74,0.48,0.65,5.337049574,0.080409592,0.14548643,4344,Aaustralis,0.004,29.46879,-91.19802
9643,CRMS0365,2012,21.11747024,0.418003663,0.085746337,14.85,0.12,-0.16,26.07,0.93,0.81,3.023261574,0.170848575,0.130478472,4368,Aaustralis,0.008,29.46879,-91.19802
9744,CRMS0365,2015,20.87902951,0.258494698,0.370151222,12.99,0.13,0.129,28.48,0.37,0.742,4.53680855,0.060307548,0.10143301,4338,Aaustralis,0.002,29.46879,-91.19802
9964,CRMS0367,2009,18.40818303,0.452016639,0.199976705,13.61,0.26,-0.52,23.27,1.01,1.77,2.318825182,0.144615495,0.382734353,3005,Aaustralis,0.002,29.62847,-90.573
9996,CRMS0367,2010,19.20912063,0.215923112,0.184643186,11.24,0.13,-0.46,28.79,0.33,0.97,5.429327437,0.044094226,0.285948799,4344,Aaustralis,0.005,29.62847,-90.573
10017,CRMS0367,2011,19.68889273,0.257559853,0.268708564,12.12,0.17,-0.49,24.91,0.29,1.23,3.83450004,0.014736416,0.314894971,4344,Aaustralis,0.01,29.62847,-90.573
10290,CRMS0369,2016,24.43406593,3.341300366,-0.094617216,7.01,0.61,-2.059,35.55,10.04,1.701,5.467013494,1.735436507,0.605550442,4368,Aaustralis,0.001,29.2946,-90.69801
10305,CRMS0369,2017,24.75517726,5.684804328,-0.147786602,13.17,0.3,-1.74,36.07,18.29,2.721,4.242945267,3.860245758,0.607128031,4344,Aaustralis,0.027,29.2946,-90.69801
10408,CRMS0371,2010,19.73748849,0.748630295,0.16336326,12.42,0.02,-0.44,26.17,1.04,1.4,4.584681757,0.237014759,0.299929903,4344,Aaustralis,0.002,29.42524,-91.07301
10435,CRMS0371,2011,20.72513972,0.829161691,0.265101505,11.48,0.59,-0.56,25.79,1.05,1.14,3.506620644,0.09526155,0.408845587,4187,Aaustralis,0.001,29.42524,-91.07301
11270,CRMS0385,2016,24.70287457,1.913910242,0.144539241,10.9,0.34,-0.308,37.79,6.16,0.871,5.51962479,1.061103146,0.168548816,4345,Aaustralis,0.003,29.41073,-90.60425
11285,CRMS0385,2017,24.30991008,3.083124279,0.19974291,15.55,0.52,-0.158,31.04,6.52,1.007,3.588843506,1.364860853,0.251512673,4337,Aaustralis,0.001,29.41073,-90.60425
11419,CRMS0390,2010,23.02902832,5.304906746,0.146873129,3,2.25,-0.9,35.24,8.8,2.02,7.516231389,1.734246016,0.529167832,4343,Aaustralis,0.007,29.46879,-90.66676
11472,CRMS0392,2009,25.27745568,12.45880037,0.062604191,6.61,8.55,-1.1,36.58,15.83,1.29,5.740144342,1.551915092,0.42013675,4343,Aaustralis,0.008,29.45428,-90.66676
11484,CRMS0392,2010,23.53364641,5.651309853,0.167958103,4.15,3.08,-0.82,36.5,9.36,2.19,7.494176695,1.577177741,0.533035652,4344,Aaustralis,0.016,29.45428,-90.66676
11494,CRMS0392,2011,25.51300875,9.755299263,0.11125,1.38,6.18,-1.23,36.19,12.5,1.52,6.454638751,1.388785717,0.447693172,4344,Aaustralis,0.017,29.45428,-90.66676
11523,CRMS0392,2016,25.00570233,4.035486047,0.499191163,7.67,1.78,-0.836,36.77,5.15,2.052,5.830528881,0.396172454,0.465380302,4300,Aaustralis,0.003,29.45428,-90.66676
11597,CRMS0394,2009,20.89853063,6.33608245,0.209251497,13.68,3.52,-0.58,26.58,9.86,1.42,3.800404094,1.251458993,0.329932898,4342,Aaustralis,0.002,29.35992,-90.85426
11615,CRMS0394,2010,20.90130755,2.975879374,0.125029926,6.98,1.41,-0.52,30.35,5.13,1.79,6.700794908,1.060625811,0.355239133,4344,Aaustralis,0.018,29.35992,-90.85426
11629,CRMS0394,2011,21.92839319,6.033066298,0.087267495,11.37,2.65,-0.64,28.27,8.8,1.5,4.684914945,1.238514162,0.310866172,4344,Aaustralis,0.003,29.35992,-90.85426
11710,CRMS0394,2016,21.34271291,2.362264194,0.331796474,14.88,1.48,-0.448,27.27,3.37,1.589,3.812741164,0.334306478,0.323065456,4368,Aaustralis,0.001,29.35992,-90.85426
11725,CRMS0394,2017,21.93208794,6.373054788,0.258858425,17.84,4.63,-0.38,25.72,9.67,2.325,2.612279693,1.124753322,0.359301644,4344,Aaustralis,0.012,29.35992,-90.85426
11744,CRMS0395,2007,21.4323055,3.65476204,0.271530351,14.07,1.65,-0.36,27.32,7.36,1.2,4.33632797,1.460871966,0.312341126,3509,Aaustralis,0.00225,29.35992,-90.88551
11784,CRMS0395,2010,20.11950265,1.977243841,0.116979047,12.25,0.61,-0.57,27.55,6.53,1.74,5.411490286,1.273995563,0.324130543,4343,Aaustralis,0.008,29.35992,-90.88551
11842,CRMS0395,2014,20.19327808,3.254065378,0.174606354,13.31,1.68,-0.4,26.99,4.74,1.43,4.407713403,0.956588146,0.310495406,4344,Aaustralis,0.005,29.35992,-90.88551
11846,CRMS0395,2015,20.67359407,2.092239264,0.241653374,14.07,0.65,-0.972,27.64,5.99,1.486,4.4403822,1.28746173,0.375399896,3912,Aaustralis,0.005,29.35992,-90.88551
11864,CRMS0395,2016,21.40502976,2.213793498,0.573677885,14.34,1.35,-0.275,28.58,3.88,1.887,4.106492321,0.553662751,0.349891315,4368,Aaustralis,0.001,29.35992,-90.88551
11916,CRMS0396,2008,20.17270604,6.643582875,0.246632326,15.96,4.85,-0.33,25.59,7.33,1.17,2.878276883,0.41349799,0.263780429,4368,Aaustralis,0.004,29.3454,-90.88551
11955,CRMS0396,2012,20.14897436,7.795533333,-0.209966667,16.72,5.28,-0.79,24.36,9.88,0.84,2.314864392,1.054302582,0.270532373,3900,Aaustralis,0.003,29.3454,-90.88551
11966,CRMS0396,2013,19.83667416,7.621091954,-0.139237881,16.19,6.16,-1.01,24.42,9.96,0.65,2.770385542,0.551822893,0.257704949,4002,Aaustralis,0.018,29.3454,-90.88551
11981,CRMS0396,2014,17.71620158,6.795975317,-0.261395269,14.65,5.12,-1.35,24.14,7.69,1,3.027904319,0.524321938,0.326293995,2917,Aaustralis,0.005,29.3454,-90.88551
11990,CRMS0396,2015,20.50767672,6.78597283,-0.207737048,15.45,3.53,-0.662,26.1,8.52,0.84,3.496278256,1.147415001,0.252576968,4343,Aaustralis,0.005,29.3454,-90.88551
12007,CRMS0396,2016,20.98457751,5.833700481,0.109915045,16.34,2.42,-0.465,27.59,7.28,1.389,3.034679914,1.246469701,0.313257468,4367,Aaustralis,0.003,29.3454,-90.88551
12023,CRMS0396,2017,21.72869936,8.808703959,0.172962477,17.52,5.6,-0.336,25.95,13.19,2.328,2.552356451,1.414366503,0.345009422,4344,Aaustralis,0.03,29.3454,-90.88551
12092,CRMS0398,2011,25.1393668,0.73413539,-0.324241308,5.45,0.18,-1.92,33.94,8.74,0.92,5.962734685,0.879086054,0.421328664,4343,Aaustralis,0.001,29.38895,-90.91676
12282,CRMS0400,2008,25.57932853,6.510824814,0.225399628,11.58,0.72,-0.64,36.19,15.96,0.79,5.299217907,3.552958729,0.26892281,4304,Aaustralis,0.03,29.49057,-90.5105
12302,CRMS0400,2009,25.91286668,9.959150357,0.131959475,9.47,2.7,-0.89,37.35,20.3,0.84,5.418600831,3.817918865,0.338540104,4343,Aaustralis,0.085,29.49057,-90.5105
12307,CRMS0400,2010,24.33656919,5.749827308,0.237045821,5.59,0.54,-0.72,36.47,16.03,1.47,7.341165763,3.509606025,0.436535816,4343,Aaustralis,0.028,29.49057,-90.5105
12334,CRMS0400,2014,24.32834484,5.669534991,-0.104644107,7.15,0.47,-1.346,36.04,15.35,0.964,6.1975353,3.803997929,0.377270916,4344,Aaustralis,0.022,29.49057,-90.5105
12343,CRMS0400,2015,24.80386971,1.591609116,-0.056656077,7.92,0.18,-1.167,33.66,16.51,0.86,5.738034421,1.825499181,0.390809962,4344,Aaustralis,0.031,29.49057,-90.5105
12360,CRMS0400,2017,24.94421041,4.957417127,0.314662983,12.11,0.24,-0.768,31.51,20.6,1.665,3.794630363,5.436072988,0.472213686,4344,Aaustralis,0.031,29.49057,-90.5105
12569,CRMS0416,2009,25.50073699,8.293403961,-0.151197605,6.92,1.21,-1.13,37.2,17.36,0.77,5.811766882,3.538504412,0.344106926,4342,Aaustralis,0.059,29.47605,-90.47925
12583,CRMS0416,2010,24.29162137,5.037406725,-0.079332105,4.12,1.44,-1.01,36.95,14.97,1.22,7.437461687,2.364116107,0.458827583,4342,Aaustralis,0.024,29.47605,-90.47925
12603,CRMS0416,2012,26.11529762,9.394500916,0.064787088,5.1,5.29,-1.07,35.37,16.4,0.86,5.056685608,2.212618159,0.329545489,4368,Aaustralis,0.002,29.47605,-90.47925
12652,CRMS0416,2016,25.35104625,4.13518544,0.225634386,7.46,1.8,-1.022,35.58,12.43,1.546,5.386291344,1.627008325,0.411310783,4368,Aaustralis,0.03,29.47605,-90.47925
12840,CRMS0461,2012,23.0542579,0.175311498,0.292322492,8.95,0.08,-1.46,33.52,0.28,2.05,6.533324934,0.054030508,0.540729356,4366,Aaustralis,0.003,29.58492,-91.32302
13197,CRMS0464,2010,19.94964499,0.519909117,0.161133201,9.5,0.2,-0.52,26.9,1.4,1.49,6.199236162,0.226268125,0.226430289,3521,Aaustralis,0.00225,29.5196,-91.38552
13416,CRMS0465,2010,18.55921613,0.707753479,0.152442488,9.1,0.1,-0.69,24.9,1.7,1.45,5.624662198,0.217800426,0.276673521,3521,Aaustralis,0.00325,29.54137,-91.38552
13504,CRMS0465,2014,18.63858633,0.695921205,0.154400927,11.4,0.3,-0.67,24.5,0.9,1.48,4.162165544,0.157348372,0.27639683,4315,Aaustralis,0.015,29.54137,-91.38552
13590,CRMS0479,2010,19.52944521,0.177541436,0.65426105,5.71,0.11,-0.43,31.18,0.25,2.53,8.520740985,0.036305756,0.45717692,4344,Aaustralis,0.003,29.52686,-91.44803
13624,CRMS0479,2014,20.45721619,0.149304049,0.127983858,6.39,0.1,-1.181,29.56,0.2,2.179,7.264972246,0.022691277,0.518060912,3779,Aaustralis,0.054,29.52686,-91.44803
13653,CRMS0479,2015,18.82629862,0.148487557,0.367621648,5.91,0.09,-1.877,30.04,0.27,1.839,7.909166426,0.04790016,0.63979555,4139,Aaustralis,0.002,29.52686,-91.44803
14100,CRMS0489,2006,29.65513234,1.35566168,-0.409493671,24.47,0.47,-1.06,35.7,2.36,0.84,2.002761259,0.507340523,0.368353506,869,Aaustralis,5.00E-04,29.59944,-91.54178
14122,CRMS0489,2007,24.48669391,0.357785043,-0.214225582,6.81,0.1,-1.06,34.39,1.91,1.36,5.367597668,0.176879459,0.497778757,2447,Aaustralis,0.01,29.59944,-91.54178
14131,CRMS0489,2008,23.41179561,0.350713945,-0.495883477,4.7,0.14,-2.05,32.88,1.54,2.79,5.439059541,0.216768373,0.787523142,4188,Aaustralis,0.02,29.59944,-91.54178
14151,CRMS0489,2009,23.53361878,0.432249079,-0.557884438,4.38,0.16,-1.97,36.53,1.58,2.98,5.853470288,0.279012735,0.781211187,4344,Aaustralis,0.031,29.59944,-91.54178
14174,CRMS0489,2010,22.55056873,0.2622519,-0.503944278,3.2,0.13,-2.05,36.69,0.84,1.97,7.342805973,0.11118036,0.829648182,4343,Aaustralis,0.021,29.59944,-91.54178
14198,CRMS0489,2011,23.40004374,0.479343923,-0.537663444,1.04,0.15,-1.94,34.71,4.24,2.22,6.042195555,0.483636884,0.774471808,4344,Aaustralis,0.006,29.59944,-91.54178
14207,CRMS0489,2012,23.96227315,1.217768519,-0.446043981,2.77,0.13,-1.91,34.9,19.67,3.02,5.015548233,2.30660385,0.723193295,4320,Aaustralis,0.005,29.59944,-91.54178
14229,CRMS0489,2013,22.99637177,0.466777858,-0.460116026,6.88,0.1,-1.91,36.78,2.7,2.11,5.860996972,0.323973736,0.708867321,4137,Aaustralis,0.01,29.59944,-91.54178
14256,CRMS0489,2014,22.42745337,0.364340318,-0.807102694,3.21,0.01,-2.129,35.13,3.14,1.951,6.54574383,0.276089978,0.742749347,4343,Aaustralis,0.005,29.59944,-91.54178
14284,CRMS0489,2015,24.14449787,0.451293226,-0.761531502,5.06,0.12,-2.166,34.57,3.07,1.517,5.862440135,0.363105971,0.683630379,4222,Aaustralis,0.043,29.59944,-91.54178
14300,CRMS0489,2016,23.61031163,0.220760465,-0.44630186,6.31,0.08,-2.044,35.98,0.83,2.86,5.725474101,0.095515902,0.749180152,4300,Aaustralis,0.005,29.59944,-91.54178
14318,CRMS0489,2017,24.58599798,0.338178599,-0.474152036,9.82,-0.01,-1.778,36.3,1.89,3.898,4.420463161,0.265520689,0.715452565,3953,Aaustralis,0.027,29.59944,-91.54178
14390,CRMS0493,2011,23.87561503,0.328180702,-0.565060152,2.64,0.15,-2.13,34.74,3.86,2.28,5.679657365,0.284714131,0.681623476,4073,Aaustralis,0.002,29.75186,-91.76053
14480,CRMS0493,2015,19.07521854,0.308988962,-0.802346137,5.97,0.08,-2.109,27.46,2.72,0.722,5.009341226,0.284249511,0.619812282,2265,Aaustralis,0.001,29.75186,-91.76053
14536,CRMS0494,2007,25.01670414,0.580003212,-0.030369419,5.59,0.12,-0.48,34.52,3.38,0.74,4.428287429,0.38935857,0.285202018,3113,Aaustralis,0.014,29.7446,-91.79178
14562,CRMS0494,2009,23.55283005,1.188684802,-0.054192663,4.6,0.13,-0.46,36.93,11.09,1.6,5.740425759,1.565795842,0.32942906,4007,Aaustralis,0.024,29.7446,-91.79178
14567,CRMS0494,2010,23.10848216,0.550308834,-0.356279627,3.13,0.1,-2.22,35.5,6.35,1.9,7.321780247,0.567373313,0.653121518,4177,Aaustralis,0.014,29.7446,-91.79178
14593,CRMS0494,2011,24.57030598,0.993107211,-0.474833966,2.46,0.16,-2.28,34.33,5.48,2.41,5.978557686,0.816072284,0.621882094,4216,Aaustralis,0.013,29.7446,-91.79178
14661,CRMS0494,2016,23.65621009,0.412026839,0.129596252,8.96,0.09,-1.006,39.27,1.09,2.924,5.564593194,0.168743704,0.542584573,4322,Aaustralis,0.005,29.7446,-91.79178
14726,CRMS0496,2010,22.77227168,0.275246771,-0.273602399,6.07,0.11,-1.78,35.27,0.77,2.01,6.951879706,0.095985552,0.780904118,4336,Aaustralis,0.001,29.6319,-91.544
14800,CRMS0496,2014,25.94049535,0.3458867,-0.296335523,9.89,0.14,-1.345,36.34,1.05,2.045,5.602303073,0.146564338,0.569165511,3654,Aaustralis,0.002,29.6319,-91.544
14873,CRMS0498,2007,27.71690758,6.622602686,0.367037915,19.32,3.41,-0.96,32.99,11.38,1.24,2.502023952,1.526115392,0.367663818,2532,Aaustralis,0.003,29.49783,-91.85429
14925,CRMS0499,2007,28.25489039,3.776775608,0.069262654,16.78,2.01,-0.99,37.47,5.29,1.11,3.00945181,0.789711204,0.402152074,2509,Aaustralis,0.008,29.57041,-91.85429
14928,CRMS0499,2008,28.57243382,1.697865073,0.125764304,18.09,1.06,-0.85,36.03,2.36,1.06,3.127289994,0.26461561,0.369154024,1171,Aaustralis,0.029,29.57041,-91.85429
14939,CRMS0499,2009,24.48020733,5.078313753,-0.148346003,9.41,2.15,-1.31,35.23,11.25,1.13,5.758081726,1.723216934,0.461090903,4341,Aaustralis,0.004,29.57041,-91.85429
14951,CRMS0499,2010,27.53065495,3.02885623,0.13113738,12.11,0.92,-1.3,40.53,6.6,1.95,4.787844754,1.364646306,0.529627652,3130,Aaustralis,0.005,29.57041,-91.85429
14979,CRMS0499,2014,23.27998379,4.467974068,-0.232050938,2.58,1.07,-1.452,36.63,8.97,1.208,7.000658821,1.809025106,0.507688681,4319,Aaustralis,0.003,29.57041,-91.85429
15034,CRMS0501,2008,24.82221689,2.301244402,0.012476008,4.72,0.95,-1.75,38.24,3.63,1.33,5.897304125,0.50024655,0.500447683,3126,Aaustralis,0.009,29.63573,-92.26054
15055,CRMS0501,2012,25.14532051,3.381927656,0.102335165,0.87,1.01,-1.78,36.67,8.04,2.03,5.5418193,1.540450685,0.474805826,4368,Aaustralis,0.005,29.63573,-92.26054
